CustomerID,Lookalikes
C0001,"[('C0140', 0.9963959141465663), ('C0091', 0.9960997794890365), ('C0120', 0.9914757192494463)]"
C0002,"[('C0134', 0.9911381185502217), ('C0159', 0.9903852930552169), ('C0106', 0.9708623042644118)]"
C0003,"[('C0163', 0.9986899247441967), ('C0085', 0.9922390132778367), ('C0127', 0.9889730050931137)]"
C0004,"[('C0075', 0.9976146166883211), ('C0090', 0.9930580747653504), ('C0146', 0.9921394514357527)]"
C0005,"[('C0007', 0.9970394217473295), ('C0197', 0.9882039808850757), ('C0166', 0.987985693769867)]"
C0006,"[('C0081', 0.997229092486295), ('C0185', 0.9965652531568776), ('C0169', 0.9964605242766854)]"
C0007,"[('C0005', 0.9970394217473295), ('C0197', 0.9952089885361831), ('C0166', 0.9889553480535479)]"
C0008,"[('C0055', 0.9956513564960103), ('C0170', 0.9932892558978437), ('C0173', 0.9926555466852883)]"
C0009,"[('C0032', 0.970797524091056), ('C0027', 0.9654228709652825), ('C0088', 0.9423166507379501)]"
C0010,"[('C0029', 0.995071354106565), ('C0042', 0.9931131479301563), ('C0176', 0.9925186668683472)]"
C0011,"[('C0188', 0.9962327219162435), ('C0074', 0.9941019240754326), ('C0016', 0.99298220100834)]"
C0012,"[('C0148', 0.9927117287391671), ('C0031', 0.9873509113912425), ('C0172', 0.9858390960595464)]"
C0013,"[('C0044', 0.9967838770392611), ('C0046', 0.9951501967226083), ('C0056', 0.9907533346593652)]"
C0014,"[('C0095', 0.9963336511452707), ('C0128', 0.9954996353749649), ('C0080', 0.9785280582240447)]"
C0015,"[('C0073', 0.9863515006155592), ('C0025', 0.9806755899940695), ('C0038', 0.9770392202955632)]"
C0016,"[('C0188', 0.9965219820473803), ('C0021', 0.9946005830378987), ('C0011', 0.99298220100834)]"
C0017,"[('C0177', 0.9955589356831622), ('C0035', 0.9953020450167903), ('C0154', 0.9902352709690533)]"
C0018,"[('C0051', 0.9974162520662492), ('C0068', 0.9927382101516702), ('C0050', 0.9918131977643021)]"
C0019,"[('C0070', 0.9949185819279118), ('C0155', 0.9719957264999938), ('C0191', 0.9690221705264278)]"
C0020,"[('C0120', 0.9991529357707744), ('C0069', 0.9974424907459964), ('C0140', 0.9961619976451571)]"
